date,type,description,key,source_module,observed_from,close_time,status
2029-05-28,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2029-08-27,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2029-12-24,EARLY_CLOSE,Christmas Eve (Early Close),gb_lse_christmas_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2029-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
2029-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2029-12-31,EARLY_CLOSE,New Year's Eve (Early Close),gb_lse_new_years_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2030-01-01,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,,,CONFIRMED
2030-04-19,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2030-04-22,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2030-05-06,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2030-05-27,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2030-08-26,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2030-12-24,EARLY_CLOSE,Christmas Eve (Early Close),gb_lse_christmas_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2030-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
2030-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2030-12-31,EARLY_CLOSE,New Year's Eve (Early Close),gb_lse_new_years_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
