date,type,description,key,source_module,observed_from,close_time,status
1944-02-11,CLOSED,Lincoln's Birthday (observed),special_lincolns_birthday_observed,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1944-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1944-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1944-04-07,CLOSED,Good Friday,good_friday,module:good_friday,,,CONFIRMED
1944-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1944-06-14,CLOSED,Flag Day,flag_day,module:flag_day,,,CONFIRMED
1944-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1944-09-04,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1944-10-12,CLOSED,Columbus Day,columbus_day,module:columbus_day,,,CONFIRMED
1944-11-07,CLOSED,Election Day,election_day_closures,module:us_historical_closures,,,CONFIRMED
1944-11-10,CLOSED,Veterans Day (observed),special_veterans_day_observed,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1944-11-11,CLOSED,Armistice Day,armistice_veterans_day,module:armistice_veterans_day,,,CONFIRMED
1944-11-23,CLOSED,Thanksgiving Day,thanksgiving,module:thanksgiving,,,CONFIRMED
1944-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1945-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1945-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1945-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1945-03-30,CLOSED,Good Friday,good_friday,module:good_friday,,,CONFIRMED
1945-04-14,CLOSED,Presidential Funeral (Franklin D. Roosevelt),presidential_funerals,module:us_historical_closures,,,CONFIRMED
1945-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1945-06-14,CLOSED,Flag Day,flag_day,module:flag_day,,,CONFIRMED
1945-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1945-08-15,CLOSED,Victory Over Japan Day,vj_day,module:us_historical_closures,,,CONFIRMED
1945-08-16,CLOSED,Victory Over Japan Day,vj_day,module:us_historical_closures,,,CONFIRMED
1945-09-03,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1945-10-12,CLOSED,Columbus Day,columbus_day,module:columbus_day,,,CONFIRMED
1945-10-13,CLOSED,Saturday After Columbus Day,special_saturday_after_columbus_day,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1945-10-27,CLOSED,Special Event (Navy Day),special_events,module:us_historical_closures,,,CONFIRMED
1945-11-06,CLOSED,Election Day,election_day_closures,module:us_historical_closures,,,CONFIRMED
1945-11-12,CLOSED,Armistice Day,armistice_veterans_day,module:armistice_veterans_day,1945-11-11,,CONFIRMED
1945-11-22,CLOSED,Thanksgiving Day,thanksgiving,module:thanksgiving,,,CONFIRMED
1945-12-24,CLOSED,Christmas Eve,special_christmas_eve,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1945-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
