date,type,description,key,source_module,observed_from,close_time,status
2012-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2012-04-06,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2012-04-09,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2012-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2012-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2012-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2012-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2012-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2013-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2013-03-29,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2013-04-01,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2013-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2013-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2013-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2013-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2013-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2014-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2014-04-18,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2014-04-21,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2014-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2014-10-03,CLOSED,Day of German Unity,de_xetra_german_unity_day,module:de_xetra_german_unity_day,,,CONFIRMED
2014-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2014-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2014-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2014-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2015-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2015-04-03,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2015-04-06,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2015-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2015-05-25,CLOSED,Whit Monday,de_xetra_whit_monday,module:de_xetra_whit_monday,,,CONFIRMED
2015-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2015-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2015-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2015-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2016-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2016-03-25,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2016-03-28,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2016-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2016-05-16,CLOSED,Whit Monday,de_xetra_whit_monday,module:de_xetra_whit_monday,,,CONFIRMED
2016-10-03,CLOSED,Day of German Unity,de_xetra_german_unity_day,module:de_xetra_german_unity_day,,,CONFIRMED
2016-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2016-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2016-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2016-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2017-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2017-04-14,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2017-04-17,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
