date,type,description
2005-08-28,WEEKEND,Sunday
2005-09-03,WEEKEND,Saturday
2005-09-04,WEEKEND,Sunday
2005-09-05,CLOSED,Labor Day
2005-09-10,WEEKEND,Saturday
2005-09-11,WEEKEND,Sunday
2005-09-17,WEEKEND,Saturday
2005-09-18,WEEKEND,Sunday
2005-09-24,WEEKEND,Saturday
2005-09-25,WEEKEND,Sunday
2005-10-01,WEEKEND,Saturday
2005-10-02,WEEKEND,Sunday
2005-10-08,WEEKEND,Saturday
2005-10-09,WEEKEND,Sunday
2005-10-15,WEEKEND,Saturday
2005-10-16,WEEKEND,Sunday
2005-10-22,WEEKEND,Saturday
2005-10-23,WEEKEND,Sunday
2005-10-29,WEEKEND,Saturday
2005-10-30,WEEKEND,Sunday
2005-11-05,WEEKEND,Saturday
2005-11-06,WEEKEND,Sunday
2005-11-12,WEEKEND,Saturday
2005-11-13,WEEKEND,Sunday
2005-11-19,WEEKEND,Saturday
2005-11-20,WEEKEND,Sunday
2005-11-24,CLOSED,Thanksgiving Day
2005-11-26,WEEKEND,Saturday
2005-11-27,WEEKEND,Sunday
2005-12-03,WEEKEND,Saturday
2005-12-04,WEEKEND,Sunday
2005-12-10,WEEKEND,Saturday
2005-12-11,WEEKEND,Sunday
2005-12-17,WEEKEND,Saturday
2005-12-18,WEEKEND,Sunday
2005-12-24,WEEKEND,Saturday
2005-12-25,CLOSED,Christmas Day
2005-12-31,WEEKEND,Saturday
2006-01-01,CLOSED,New Year's Day
2006-01-07,WEEKEND,Saturday
2006-01-08,WEEKEND,Sunday
2006-01-14,WEEKEND,Saturday
2006-01-15,WEEKEND,Sunday
2006-01-21,WEEKEND,Saturday
2006-01-22,WEEKEND,Sunday
2006-01-28,WEEKEND,Saturday
2006-01-29,WEEKEND,Sunday
2006-02-04,WEEKEND,Saturday
2006-02-05,WEEKEND,Sunday
2006-02-11,WEEKEND,Saturday
2006-02-12,WEEKEND,Sunday
2006-02-18,WEEKEND,Saturday
2006-02-19,WEEKEND,Sunday
2006-02-25,WEEKEND,Saturday
2006-02-26,WEEKEND,Sunday
2006-03-04,WEEKEND,Saturday
2006-03-05,WEEKEND,Sunday
2006-03-11,WEEKEND,Saturday
2006-03-12,WEEKEND,Sunday
2006-03-18,WEEKEND,Saturday
2006-03-19,WEEKEND,Sunday
2006-03-25,WEEKEND,Saturday
2006-03-26,WEEKEND,Sunday
2006-04-01,WEEKEND,Saturday
2006-04-02,WEEKEND,Sunday
2006-04-08,WEEKEND,Saturday
2006-04-09,WEEKEND,Sunday
2006-04-15,WEEKEND,Saturday
2006-04-16,WEEKEND,Sunday
2006-04-22,WEEKEND,Saturday
2006-04-23,WEEKEND,Sunday
2006-04-29,WEEKEND,Saturday
2006-04-30,WEEKEND,Sunday
2006-05-06,WEEKEND,Saturday
2006-05-07,WEEKEND,Sunday
2006-05-13,WEEKEND,Saturday
2006-05-14,WEEKEND,Sunday
2006-05-20,WEEKEND,Saturday
2006-05-21,WEEKEND,Sunday
2006-05-27,WEEKEND,Saturday
2006-05-28,WEEKEND,Sunday
2006-05-29,CLOSED,Memorial Day
2006-06-03,WEEKEND,Saturday
2006-06-04,WEEKEND,Sunday
2006-06-10,WEEKEND,Saturday
