date,type,description,key,source_module,observed_from,close_time,status
2022-01-31,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2022-02-01,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2022-02-02,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2022-02-03,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2022-04-05,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2022-04-15,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2022-04-18,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2022-05-02,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,2022-05-01,,CONFIRMED
2022-05-09,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,2022-05-08,,CONFIRMED
2022-06-03,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2022-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2022-09-12,CLOSED,The day following the Chinese Mid-Autumn Festival,hk_mid_autumn,module:hk_mid_autumn,2022-09-11,,CONFIRMED
2022-10-04,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2022-12-26,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2022-12-27,CLOSED,The second weekday after Christmas Day (25 December 2022 fell on a Sunday),hk_second_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2023-01-02,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,2023-01-01,,CONFIRMED
2023-01-23,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2023-01-24,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2023-01-25,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,2023-01-22,,CONFIRMED
2023-04-05,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2023-04-07,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2023-04-10,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2023-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2023-05-26,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,,,CONFIRMED
2023-06-22,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2023-10-02,CLOSED,National Day,hk_national_day,module:hk_national_day,2023-10-01,,CONFIRMED
2023-10-23,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2023-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2023-12-26,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2024-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2024-02-09,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2024-02-12,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2024-02-13,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,2024-02-11,,CONFIRMED
2024-03-29,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2024-04-01,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2024-04-04,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2024-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2024-05-15,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,,,CONFIRMED
2024-06-10,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2024-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2024-09-18,CLOSED,The day following the Chinese Mid-Autumn Festival,hk_mid_autumn,module:hk_mid_autumn,,,CONFIRMED
2024-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
