date,type,description,key,source_module,observed_from,close_time,status
2030-02-02,CLOSED,Eid al-Fitr,eid_al_fitr_projected,module:eid_al_fitr,,,PROJECTED
2030-02-03,CLOSED,Eid al-Fitr,eid_al_fitr_projected,module:eid_al_fitr,,,PROJECTED
2030-02-04,CLOSED,Eid al-Fitr,eid_al_fitr_projected,module:eid_al_fitr,,,PROJECTED
2030-02-05,CLOSED,Eid al-Fitr,eid_al_fitr_projected,module:eid_al_fitr,,,PROJECTED
2030-02-06,CLOSED,Eid al-Fitr,eid_al_fitr_projected,module:eid_al_fitr,,,PROJECTED
2030-02-07,CLOSED,Eid al-Fitr,eid_al_fitr_projected,module:eid_al_fitr,,,PROJECTED
2030-02-21,CLOSED,Saudi Founding Day,saudi_founding_day,module:saudi_founding_day,2030-02-22,,CONFIRMED
2030-04-08,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-09,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-10,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-11,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-12,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-13,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-14,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-15,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-04-16,CLOSED,Eid al-Adha,eid_al_adha_projected,module:eid_al_adha,,,PROJECTED
2030-09-23,CLOSED,Saudi National Day,saudi_national_day,module:saudi_national_day,,,CONFIRMED
